trajectory_id,timestamp_ns,time_s,x,y,heading_deg,bag
extracted_Bag1,1749186729989305797,0.0,55.5674294797891,24.131331400758803,54.76307342288932,a
extracted_Bag1,1749186730089530208,0.10022425651550293,55.56966291227537,24.14096765459992,54.76011197247623,a
extracted_Bag1,1749186730189468408,0.20016264915466309,55.57109510489879,24.147144795197587,54.760012941398834,a
extracted_Bag1,1749186730289272044,0.29996609687805176,55.56755291961035,24.151367940580716,54.75382919307432,a
extracted_Bag1,1749186730389457441,0.40015149116516113,55.569194417209964,24.160082565212033,54.744759210231926,a
extracted_Bag1,1749186730489726045,0.500420093536377,55.57006422650754,24.164696905664197,54.73682366881744,a
extracted_Bag1,1749186730589588352,0.6002826690673828,55.57173492547979,24.173550950270688,54.72295867481319,a
extracted_Bag1,1749186730689664182,0.7003583908081055,55.57260839706336,24.178174581748745,54.712488275896426,a
extracted_Bag1,1749186730789629323,0.800323486328125,55.57377450997477,24.1843413634084,54.70113381401065,a
extracted_Bag1,1749186730889465600,0.9001598358154297,55.575099240450456,24.19133744783815,54.68631001073529,a
extracted_Bag1,1749186730989600141,1.0002944469451904,55.57630840837298,24.197716564954867,54.678820939949716,a
extracted_Bag1,1749186731089576482,1.1002705097198486,55.577624684126725,24.204654662545614,54.67166913569369,a
extracted_Bag1,1749186731189680295,1.2003746032714844,55.57930730366844,24.213519921052903,54.67179915023433,a
extracted_Bag1,1749186731289790339,1.3004846572875977,55.58929767908472,24.20656092245183,54.67162847135131,a
extracted_Bag1,1749186731389582211,1.4002764225006104,55.59181354339624,24.214608984251996,54.67885247291273,a
extracted_Bag1,1749186731489645016,1.5003392696380615,55.59304371876678,24.218545299336725,54.67962241979191,a
extracted_Bag1,1749186731589473408,1.6001675128936768,55.595409979139326,24.22611778572148,54.681508891346084,a
extracted_Bag1,1749186731689693019,1.7003870010375977,55.596664297872366,24.230131961967366,54.67780958564307,a
extracted_Bag1,1749186731789617482,1.80031156539917,55.59843532364666,24.235798795964527,54.67520926464117,a
extracted_Bag1,1749186731889676179,1.9003703594207764,55.6004531487477,24.242252192036766,54.66344738773302,a
extracted_Bag1,1749186731989648272,2.000342607498169,55.60224281096068,24.247973043394175,54.648179562384215,a
extracted_Bag1,1749186732092899813,2.1035940647125244,55.60418197665297,24.254166601836133,54.64313057160666,a
extracted_Bag1,1749186732189581055,2.200275182723999,55.60662483620366,24.261964514418985,54.63186786183376,a
extracted_Bag1,1749186732294180163,2.3048741817474365,55.60011121663671,24.273039042888485,54.62196110441181,a
extracted_Bag1,1749186732389614920,2.4003090858459473,55.60183041640472,24.281113819939733,54.61391074089531,a
extracted_Bag1,1749186732489705556,2.500399589538574,55.602775055405374,24.285548782644668,54.61160747812891,a
extracted_Bag1,1749186732592938031,2.6036322116851807,55.60457917526902,24.294017885868776,54.61594759140485,a
extracted_Bag1,1749186732691904763,2.702598810195923,55.605524569546716,24.29845726407188,54.6144535359299,a
extracted_Bag1,1749186732790109706,2.8008038997650146,55.60678801855191,24.304389901654165,54.617253655953036,a
extracted_Bag1,1749186732890781621,2.9014759063720703,55.60818476002083,24.31094850614222,54.61349427009601,a
extracted_Bag1,1749186732989782938,3.0004770755767822,55.60951088398409,24.317174649507326,54.61224925096871,a
extracted_Bag1,1749186733089820133,3.1005144119262695,55.611221108358585,24.32519891650783,54.60138290566143,a
extracted_Bag1,1749186733194360189,3.20505428314209,55.612728423840494,24.332264271789295,54.58466358930908,a
extracted_Bag1,1749186733290191334,3.3008854389190674,55.62189820517233,24.32839908306348,54.574649003558456,a
extracted_Bag1,1749186733389568461,3.4002625942230225,55.62285747156704,24.331344286305487,54.5593667903361,a
extracted_Bag1,1749186733492097445,3.5027916431427,55.625529996162655,24.339542675666316,54.54813938859166,a
extracted_Bag1,1749186733589527652,3.600221633911133,55.62698808854216,24.344012713437476,54.54886886661839,a
extracted_Bag1,1749186733689534309,3.700228452682495,55.629329513965715,24.351186851834335,54.53519109993305,a
extracted_Bag1,1749186733789022246,3.7997162342071533,55.63130666325701,24.357243755027774,54.53330371799407,a
extracted_Bag1,1749186733889458184,3.9001522064208984,55.63263332471671,24.361307304954146,54.524077655680344,a
extracted_Bag1,1749186733989292065,3.999986171722412,55.6344730216972,24.366939726140913,54.527734699567446,a
extracted_Bag1,1749186734089097140,4.0997912883758545,55.63649942564624,24.373144167704783,54.53330418854682,a
extracted_Bag1,1749186734189356774,4.2000508308410645,55.638813074230235,24.38023364515406,54.564421404781676,a
extracted_Bag1,1749186734289230209,4.299924373626709,55.610816635287435,24.394633941894234,54.59557973728541,a
extracted_Bag1,1749186734390268014,4.4009621143341064,55.610801206694674,24.39994880194818,54.64520865713356,a
extracted_Bag1,1749186734489250324,4.499944448471069,55.61077432168679,24.40700161606113,54.70995471523332,a
extracted_Bag1,1749186734589434115,4.600128173828125,55.610742767343396,24.413725316788735,54.78009544264465,a
extracted_Bag1,1749186734689076302,4.699770450592041,55.61069330684685,24.422084050525292,54.855133159170556,a
extracted_Bag1,1749186734789612139,4.800306081771851,55.61066967301757,24.42545141754808,54.87919541362947,a
extracted_Bag1,1749186734890315702,4.901009798049927,55.61058720069331,24.434976931688453,55.04023534978772,a
extracted_Bag1,1749186734989538026,5.000232219696045,55.610552303618604,24.438313863202676,55.087019641226796,a
extracted_Bag1,1749186735089146138,5.09984016418457,55.61047313500074,24.44509067336496,55.181171452668075,a
extracted_Bag1,1749186735189078303,5.199772357940674,55.610359375519835,24.45349012178172,55.287589273235845,a
extracted_Bag1,1749186735289032349,5.299726486206055,55.61081083456942,24.46108806578779,55.336970200345085,a
extracted_Bag1,1749186735389246005,5.399940013885498,55.61071710664043,24.46979069580371,55.42352027821843,a
extracted_Bag1,1749186735489175775,5.49987006187439,55.610666854673184,24.47400844224949,55.46183294543424,a
extracted_Bag1,1749186735589172272,5.5998663902282715,55.61055529951647,24.482659685471734,55.541959429577325,a
extracted_Bag1,1749186735689173887,5.6998679637908936,55.61049191368965,24.487183584549935,55.582302855584615,a
extracted_Bag1,1749186735789276114,5.799970388412476,55.61040082408477,24.49333721131716,55.638809196107545,a
extracted_Bag1,1749186735889277409,5.8999714851379395,55.61028789644385,24.500487047370463,55.707289007406274,a
extracted_Bag1,1749186735989264177,5.999958276748657,55.610180889340334,24.506774681030706,55.77192036426706,a
extracted_Bag1,1749186736089381170,6.1000752449035645,55.6100563224303,24.5136112485117,55.852623529202205,a
extracted_Bag1,1749186736189214056,6.199908018112183,55.60988398523565,24.522315186427235,55.94631626481417,a
extracted_Bag1,1749186736289464311,6.300158500671387,55.62172764003474,24.52747081613994,55.990418627499686,a
extracted_Bag1,1749186736389200725,6.399894714355469,55.62254112764503,24.536073859721814,56.07533647675047,a
extracted_Bag1,1749186736489328819,6.500023126602173,55.622973118026465,24.540700238881413,56.11649048042139,a
extracted_Bag1,1749186736589133532,6.599827766418457,55.62378497922308,24.549488488531214,56.19144175164763,a
extracted_Bag1,1749186736689291773,6.699985980987549,55.62421340456362,24.55417690741155,56.22698065473244,a
extracted_Bag1,1749186736789092358,6.799786567687988,55.62475761525667,24.560178310971143,56.270584595223916,a
extracted_Bag1,1749186736889228939,6.899923086166382,55.62563729135368,24.569977934021182,56.33786645278201,a
extracted_Bag1,1749186736989099947,6.999794244766235,55.62595545200089,24.573555684677842,56.36427797947274,a
extracted_Bag1,1749186737089195559,7.099889755249023,55.626566379198586,24.580474777836553,56.413191185805005,a
extracted_Bag1,1749186737189226369,7.199920654296875,55.627326895296015,24.58919664536634,56.48511143138672,a
extracted_Bag1,1749186737289171546,7.299865484237671,55.632629962281264,24.59406757147195,56.52304622069508,a
extracted_Bag1,1749186737389098559,7.399792671203613,55.63381517747108,24.603021315850174,56.601269443290875,a
extracted_Bag1,1749186737489113138,7.499807119369507,55.63439706541225,24.60745355746259,56.6402771234934,a
