model,distance_bucket_m,occlusion_condition,n_frames,precision,recall,f1,mean_pixel_error,occluded_side_false_positive_rate,mean_latency_s
twostage_adaptivezoom,2.5,right_occluded,6,,0.0,,,0.0,0.45539
twostage_adaptivezoom,2.5,unknown,20,0.9412,0.9412,0.9412,2.493,0.1667,0.46134
twostage_fixedzoom,0.8,left_occluded,6,1.0,1.0,1.0,1.238,0.0,0.46457
twostage_fixedzoom,0.8,right_occluded,6,0.6667,1.0,0.8,1.605,0.5,0.44947
twostage_fixedzoom,0.8,unknown,15,1.0,0.9643,0.9818,2.776,0.0,0.45824
twostage_fixedzoom,1.2,left_occluded,6,1.0,0.1667,0.2857,0.796,0.0,0.46839
twostage_fixedzoom,1.2,right_occluded,6,1.0,0.5,0.6667,3.265,0.0,0.48434
twostage_fixedzoom,1.2,unknown,15,0.9231,0.5455,0.6857,3.318,0.125,0.4818
twostage_fixedzoom,1.5,left_occluded,6,,0.0,,,0.0,0.43699
twostage_fixedzoom,1.5,right_occluded,6,,0.0,,,0.0,0.46572
twostage_fixedzoom,1.5,unknown,15,1.0,0.4167,0.5882,2.696,0.0,0.46231
twostage_fixedzoom,2.0,left_occluded,6,,0.0,,,0.0,0.49121
twostage_fixedzoom,2.0,right_occluded,6,,0.0,,,0.0,0.45612
twostage_fixedzoom,2.0,unknown,15,,0.0,,,0.0,0.46724
twostage_fixedzoom,2.5,left_occluded,6,1.0,0.2222,0.3636,1.807,0.0,0.46385
twostage_fixedzoom,2.5,right_occluded,6,,0.0,,,0.0,0.45129
twostage_fixedzoom,2.5,unknown,20,1.0,0.8235,0.9032,2.412,0.0,0.46963
